Nombre,Apellido,Género,Edad,Endeudamiento,Tipo de pensionista,Delito de mayor gravedad ,Cantidad de hijos,Lugar de residencia,Participación en un voluntariado,Estado civil,Participación anterior,Fumador,Preferencia viaje,Pension anual,Años tributados,Maltrato,Discapacidad
Hernan,Cuervo,unknown,81,False,1,0,5,1,True,2,False,0,2,18644,40,False,3
Alicia,Bustamante,female,81,True,1,0,0,1,False,2,False,0,2,11224,35,False,0
Elpidio,Miralles,male,73,False,5,0,0,1,False,2,False,2,4,22446,39,False,2
Maristela,Cortina,unknown,84,False,5,0,0,1,False,3,False,0,3,26887,15,False,0
Cecilia,Pellicer,female,70,True,6,0,1,1,True,2,False,0,1,27811,30,False,0
Simon,Arellano,male,60,False,4,0,4,1,True,2,False,1,3,23131,33,False,0
Eustaquio,Fernandez,male,64,False,4,0,0,1,True,2,False,0,1,18100,41,False,3
Bernardita,Casal,female,75,False,6,0,2,1,False,2,False,0,2,14634,39,False,3
Abel,Guillén,male,71,False,2,0,1,1,True,2,False,1,4,19339,32,False,0
Maximino,Maza,male,76,False,3,0,1,1,False,3,False,0,3,21248,18,False,0
Marcelino,Valero,male,67,False,5,0,2,4,False,2,False,1,3,13917,43,False,0
Enrique,Galindo,male,62,True,1,0,6,1,False,3,False,0,2,15939,41,False,0
Armida,Figueroa,female,69,False,5,0,0,1,False,3,False,0,3,12429,29,False,3
Nicodemo,Sáez,male,68,False,6,0,2,1,False,2,True,0,5,12809,24,False,1
Cayetana,Calderon,female,59,False,6,0,4,1,False,2,False,0,1,20935,19,False,0
Carmelita,Heredia,female,64,True,2,0,1,4,True,3,False,0,1,15483,26,False,0
Luna,Gimenez,female,60,False,6,0,2,1,False,2,False,0,5,23747,26,False,0
Eligia,Nogueira,female,76,True,5,0,1,1,False,2,False,0,5,36949,43,False,0
Plinio,Duran,male,66,False,1,0,6,1,False,2,True,0,4,20355,40,False,2
Alex,Cámara,male,59,False,4,0,1,1,False,2,True,0,2,37356,42,False,0
Isabela,Aparicio,female,76,False,3,0,2,1,False,2,False,0,1,29574,44,False,3
Espiridion,Moles,unknown,81,False,2,0,2,1,False,1,True,0,4,16999,22,False,0
Maribel,Amigó,female,69,False,3,0,5,4,False,3,False,0,1,16474,40,False,0
Salomon,Barberá,male,59,False,1,0,2,1,False,3,False,0,3,23203,40,False,0
Eloisa,Porcel,female,72,True,3,0,1,1,False,3,False,0,3,11183,36,False,0
Trinidad,Sobrino,female,93,False,4,0,1,1,True,2,True,0,3,14414,42,False,0
Jeremias,Benavides,male,80,False,1,0,2,1,False,2,False,0,3,11104,44,False,2
Dafne,Vila,female,70,False,5,0,1,4,False,3,False,0,3,17176,35,False,3
Reynaldo,Rueda,male,67,False,2,0,2,4,False,3,False,0,1,12226,42,False,0
Moises,Soto,male,61,False,5,0,0,1,False,2,False,0,5,16692,40,False,0
Luis Miguel,Adadia,unknown,68,False,1,0,6,1,False,3,False,0,4,18194,35,False,0
Alma,Echevarría,female,60,False,6,0,2,1,False,2,False,0,5,19208,43,False,0
Jordana,Sanjuan,female,60,False,6,0,1,4,False,2,False,0,3,24459,41,False,0
Evangelina,Ugarte,female,94,False,4,0,2,1,True,2,False,0,2,25950,41,False,0
Herminia,Cortés,female,59,False,6,0,2,1,False,2,False,0,3,18745,40,False,2
Horacio,Valls,male,75,False,6,0,1,1,True,2,False,0,4,19835,42,False,0
Magdalena,Boix,female,68,False,5,0,1,1,False,2,False,0,3,29472,44,False,0
Florentina,Ferrández,female,97,False,6,0,1,1,False,3,False,0,2,28723,30,False,0
Tatiana,Díez,female,81,True,1,0,1,1,False,2,False,0,3,14210,41,False,0
Ciro,Roma,male,62,True,2,2,2,6,False,2,True,0,3,29140,44,False,1
Lucho,Urrutia,unknown,63,False,3,0,2,1,True,3,False,0,2,29060,27,False,1
Alonso,Manuel,male,68,False,2,0,1,1,True,3,False,0,5,18078,44,False,0
Jordan,Carballo,male,63,False,6,0,1,1,False,1,True,0,2,11610,17,False,0
Adelina,Andrade,female,64,False,2,0,3,1,True,2,False,0,2,13698,42,False,0
