viaje_id,jubilado_id,nombre,apellido,edad,pension_anual,años_tributados,numero_propiedades,nacionalidad_española,geografico_id,ciudad,comunidad_autonoma,es_costa,cantidad_hijos,estado_civil,participacion_anterior,maltrato,tipo_discapacidad,enfermedad_nivel,historial_judicial,endeudamiento,participacion_voluntariado,fumador,preferencia_internacional,preferencia_viaje_1,preferencia_viaje_2,preferencia_viaje_3,participacion_activa,mes_ultimo_viaje,puntos
1,76300,Pancho,Garcés,78,15990.0,44,1,True,22,Santander,Cantabria,True,7,Viudo,False,False,Grado 0,Media,Sin delitos,False,True,False,False,90,61,19,False,,45.56280764248861
1,71150,Casemiro,Pina,77,11193.0,44,1,True,27,Toledo,Castilla-La Mancha,False,8,Viudo,False,False,Grado 0,Media,Sin delitos,False,False,False,False,125,105,37,False,,44.8129177752985
1,5450,Maximino,Molina,78,14309.0,38,1,True,12,Oviedo,Principado de Asturias,False,8,Viudo,False,False,Grado 0,Media,Sin delitos,False,True,False,False,48,82,119,False,,44.5928076424886
1,69052,German,Agudo,75,12694.0,42,1,True,51,Madrid,Comunidad de Madrid,False,8,Viudo,False,False,Grado 0,Media,Sin delitos,False,True,False,True,53,63,133,False,,44.59022009948851
1,61467,Oriana,Verdejo,88,11240.0,40,1,True,17,Formentera,Islas Baleares,True,7,Viudo,False,False,Grado 0,Leve,Sin delitos,False,False,False,False,34,1,113,False,,43.75
1,41210,Candida,Campos,75,12948.0,43,2,True,51,Madrid,Comunidad de Madrid,False,8,Viudo,False,False,Grado 0,Media,Sin delitos,False,True,False,False,115,32,54,False,,43.71022009948851
1,75474,Cruz,Juan,78,13005.0,42,1,True,18,Las Palmas,Canarias,True,8,Viudo,False,False,Grado 0,Media,Sin delitos,False,False,False,False,128,136,42,False,,43.572807642488605
1,80654,Epifanio,Gálvez,83,15774.0,43,2,True,53,Cartagena,Region de Murcia,True,8,Viudo,False,False,Grado 0,Ninguna,Sin delitos,False,True,False,False,63,60,78,False,,43.36
1,75150,Segismundo,Cuervo,81,12075.0,44,1,True,40,Tarragona,Cataluna,True,8,Viudo,False,False,Grado 0,Leve,Sin delitos,False,False,False,False,46,25,146,False,,42.980000000000004
1,39173,Teresita,Pinto,77,21143.0,37,0,True,23,Albacete,Castilla-La Mancha,False,8,Viudo,False,False,Grado 0,Media,Sin delitos,False,True,False,True,4,112,104,False,,42.9729177752985
